,0_short,1_short,2_short,3_short,4_short,6_short,7_short,8_short,9_short,10_short,11_short,12_short,14_short,15_short,17_short,18_short,19_short,21_short,23_short,24_short,25_short,32_short,33_short,34_short,35_short,36_short,37_short,38_short,40_short,41_short,43_short,44_short,46_short,47_short,48_short,49_short,50_short,51_short,52_short,54_short,55_short,57_short,58_short,59_short,60_short,61_short,62_short,63_short,64_short,65_short,66_short,68_short,70_short,71_short,72_short,74_short,75_short,76_short,79_short,80_short,82_short,85_short,86_short,87_short,90_short,91_short,92_short,93_short,94_short,95_short,96_short,97_short,100_short,101_short,102_short,103_short,104_short,105_short,106_short,107_short,111_short,113_short,114_short,116_short,117_short,118_short,121_short,122_short,123_short,124_short,125_short,126_short,127_short,132_short,133_short,135_short,137_short,138_short,139_short,141_short,142_short,143_short,144_short,148_short,149_short,152_short,naive_ave_pnl
2011-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3092788248061525,0.0,0.3771084059058704,0.0,0.0,0.3098700922802738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3799406704571379,0.08108447714190832,0.0,0.0,0.3794791017687822,0.0,0.3814235994253978,0.0,0.0,0.0,0.38096657916246107,0.0,0.3800321321799642,0.0,0.3818619661782214,0.0,0.0,0.0,0.0,0.0,0.3797782359040024,0.0,0.0,0.08409276453549559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3685286888998319
2011-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2057917523794441,0.0,0.20617576191914216,0.0,0.0,0.300222155402366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20568948175092122,0.08132061486879118,0.0,0.0,0.2219668165063373,0.0,0.22315051155661753,0.0,0.0,0.0,0.23230141615082123,0.0,0.21745375337925196,0.0,0.21258823231503612,0.0,0.0,0.0,0.0,0.0,0.20752695568917978,0.0,0.0,0.08438466167211284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19377100389575366
2011-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3276510838013134,0.0,0.0,0.0,0.0,0.0,0.20605890569598892,0.0,0.3986965274693662,0.0,0.08908106493505699,0.5256364199939012,0.0,0.0,0.0,0.0,0.0,0.0,0.3432673980512966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42371406068123496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20577962633499203,0.08154009324890783,0.0,0.0,0.3697965243557085,0.0,0.4509992545173899,0.0,0.0,0.0,0.4594562582607764,0.0,0.4328432349580708,0.0,0.4502977871900218,0.0,0.0,0.0,0.0,0.0,0.3717843435715742,0.0,0.0,0.37675577354384115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4133957337640993
2011-06-30,0.0,0.0,0.5373651535552608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31932691651475054,0.5083806986008226,0.0,0.0,0.0,0.0,0.5054556002394494,0.0,0.4243277620903463,0.04830338571600016,0.4199857015826706,0.4217871210458851,0.0,0.0,0.0,0.0,0.0,0.0,0.4465153771562769,0.0,0.0,0.0,0.03605869920435406,0.0,0.0,0.0,0.0,0.5037307708512029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3048039579798223,0.5714508294725599,0.24302244492853936,0.3104935460173961,0.0,0.49205138677439414,0.0,0.49702064452833306,0.0,0.0,0.0,0.5989979037384142,0.0,0.537165087334301,0.0,0.4284377462735352,0.0,0.0,0.0,0.0,0.0,0.40684162267168683,0.0,0.40680094174437775,0.4350613185341386,0.47508306636496583,0.0,0.0,0.0,0.5104409515332065,0.278485101507864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46844197151223377
2011-07-31,0.0,0.0,0.5172590778131858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3669493941992987,0.512694947350027,0.0,0.0,0.0,0.0,0.5093884226011278,0.0,0.46816324913849766,0.06964702200421748,0.4395767521697594,0.38950708540707135,0.0,0.0,0.0,0.0,0.0,0.025630735394397277,0.38939784862480814,0.0,0.0,0.0,0.03655314579325839,0.0,0.0,0.0,0.0,0.5015611044927824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5092146396827761,0.4698378514851024,0.2324004633752731,0.3150321270783386,0.0,0.5000839646181257,0.0,0.5050948910168604,0.0,0.0,0.0,0.5089704844478554,0.0,0.47321659013649753,0.0,0.4887594154013637,0.0,0.0,0.0,0.0,0.0,0.4522844792788158,0.0,0.2352113523837833,0.4731472547541797,0.5190558780402311,0.0,0.04483969971666978,0.0,0.5165544329954549,0.3093052743490223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4355878518430323
2011-08-31,0.0,0.0,0.5125456777555822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0819635807815854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2267206179468805,0.45638098458571935,0.0,0.0,0.0,0.0,0.5159301159309927,0.0,0.4834475418913436,0.08336913616169672,0.44556805556447954,0.38275660189365834,0.0,0.0,0.0,0.0,0.0,0.025938280415242588,0.39727723737473375,0.0,0.0,0.0,0.07762225037559968,0.0,0.0,0.0,0.0,0.5068148992471754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5048752716614342,0.4750745659047183,0.18910104896877322,0.26648291683554,0.08075029310577321,0.5034575840172203,0.0,0.5409295495086002,0.0,0.0,0.0,0.509423617812444,0.0,0.46182455876509315,0.0,0.5080740578014039,0.0,0.0,0.0,0.0,0.0,0.4459237919326731,0.0,0.3318482118083996,0.4398761227057555,0.5822369321861562,0.0,0.013563107287077086,0.0,0.5240061106538607,0.3077872779204198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4711416789338958
2011-09-30,0.0,0.0,0.5384140360315508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06496814314291557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40577731789759847,0.4598499311716386,0.0,0.0,0.0,0.0,0.5412930024424263,0.0,0.4882505737553396,0.2753176291973361,0.5250870261252453,0.38130596739486783,0.12120208785904699,0.0,0.0,0.0,0.0,0.027219187433591127,0.48447446763517604,0.0,0.0,0.0,0.08487078921359092,0.0,0.0,0.0,0.0,0.5382447942636982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5425469588532831,0.49284340110410146,0.18907873309420667,0.27947217866677343,0.0602725062828917,0.5030775932452776,0.0,0.5539659987520206,0.0,0.0,0.0,0.5133863968001702,0.0,0.5063024127578067,0.0,0.5342283276316848,0.0,0.0,0.0,0.0,0.0,0.44669361967437077,0.0,0.2534568712472776,0.4611398084932589,0.5859424172169253,0.0,0.06533648152912096,0.0,0.5034449358828006,0.26090743992198656,0.0,0.0,0.0,0.04386362569840605,0.0,0.04251286968177259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49588627533744944
2011-10-31,0.0,0.0,0.5474574871358524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04739620308177846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34163175459486167,0.4750487691381352,0.0,0.0,0.0,0.0,0.5425368687162342,0.0,0.48060676417218556,0.21179164027414757,0.499672569373743,0.3811454795782038,0.12073441491135971,0.0,0.0,0.0,0.0,0.029712575783278322,0.5017704693809104,0.0,0.0,0.0,0.06180998498322875,0.0,0.0,0.0,0.0,0.5248420684414303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5274982114740586,0.49413084075038793,0.18099430860597943,0.2944536658805069,0.06007970181839483,0.5023019416609026,0.0,0.5476191675762887,0.0,0.0,0.0,0.49534187873861235,0.0,0.5081723535111569,0.0,0.5368103792338662,0.0,0.0,0.0,0.0,0.0,0.4487454519500631,0.0,0.2588089987191115,0.45438410903063303,0.5771047173661152,0.0,0.026248626822812614,0.0,0.5008361820460946,0.1965902692662981,0.0,0.0,0.0,0.03788190985386349,0.0,0.03676217954428885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4447417709372475
2011-11-30,0.0,0.0,0.46284118617908787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047347186073545024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3699301368402029,0.4918857687870607,0.0,0.0,0.0,0.0,0.5502679364793801,0.0,0.4523568064255836,0.18489390319179907,0.36437132065856653,0.26352051733953996,0.21434234955041692,0.3145468738539304,0.0,0.0,0.0,0.2840786387294898,0.5730926126597043,0.0,0.0,0.0,0.22243157985107023,0.0,0.0,0.0,0.0,0.4396394430491062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4540745988229362,0.4642327994578149,0.49646393862544164,0.5530963466172261,0.06076083588034971,0.5504087649712552,0.0,0.48629319476692356,0.0,0.0,0.0,0.44828787261856,0.0,0.5250851090969401,0.0,0.5200407230290072,0.4815312970890297,0.0,0.0,0.0,0.0,0.45467403802828904,0.0,0.27802234425089883,0.48990460330358787,0.5006689874294022,0.0,0.23834200384127902,0.0,0.5077745983392178,0.1822516825417952,0.0,0.0,0.0,0.19852896780673074,0.0,0.3255376807362438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3656104458601148
2011-12-31,0.0,0.0,0.4538700313895603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2682485839931203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2842887551495295,0.49637116851647084,0.0,0.0,0.0,0.0,0.5958093223734929,0.0,0.40481057601620984,0.3807305901873108,0.32823964204950645,0.30287195000916073,0.37973483121569557,0.48468418721725814,0.0,0.0,0.0,0.2909683599876882,0.5383870408534364,0.0,0.0,0.0,0.22280361704193183,0.0,0.0,0.0,0.0,0.448885432044248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32408207303691267,0.0,0.43927156139538065,0.5145546877794257,0.4994614065320477,0.5499059502280415,0.06109177991345081,0.5227491925591559,0.0,0.4100718830928356,0.0,0.0,0.0,0.49279453775640775,0.0,0.5175078330142651,0.0,0.47042221375864296,0.44937869447330886,0.0,0.0,0.0,0.0,0.46166670666379966,0.0,0.31242261386233405,0.48486388825968485,0.4355273692900288,0.0,0.20023001767125376,0.0,0.5654787693547795,0.18906284939370144,0.0,0.0,0.0,0.24215221136865908,0.0,0.19138508416381853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3940259674066057
